State,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Alabama,8.908333333,4.891666667,8.041666667,6.9,4.233333333,9.566666667,5.458333333,5.891666667,8.783333333,4.875,7.983333333,6.791666667,4.275,9.416666667,5.441666667,5.975,8.641666667,4.891666667
Alaska,9.116666667,7,7.933333333,8.425,6.65,9.058333333,7.25,6.983333333,9.141666667,6.991666667,7.833333333,8.441666667,6.608333333,9.075,7.183333333,7.041666667,9.116666667,6.958333333
Arizona,6.7,5.241666667,7.166666667,6.066666667,4.666666667,7.908333333,5.408333333,6.358333333,6.708333333,5.208333333,7.15,6.05,4.725,7.9,5.408333333,6.516666667,6.7,5.191666667
Arkansas,8.141666667,5.175,7.241666667,6.983333333,5.041666667,8.308333333,5.783333333,6.025,8.15,5.15,7.283333333,6.9,5.108333333,8.316666667,5.691666667,6.116666667,8.05,5.133333333
California,7.275,6.875,8.5,7.208333333,5.816666667,8.866666667,7.025,7.691666667,7.316666667,6.841666667,8.558333333,7.258333333,5.85,8.85,7.033333333,7.85,7.316666667,6.775
Colorado,6.4,4.266666667,6.35,5.741666667,4.175,7.241666667,4.433333333,5.883333333,6.35,4.258333333,6.383333333,5.65,4.258333333,7.158333333,4.45,6.058333333,6.133333333,4.358333333
Connecticut,5.016666667,4.491666667,6.375,4.891666667,4.141666667,6.033333333,4.841666667,5.791666667,5.016666667,4.5,6.316666667,4.975,4.175,5.975,4.825,6,4.983333333,4.433333333
Delaware,5.408333333,4.083333333,6.241666667,4.433333333,3.716666667,6.35,4.283333333,5.033333333,5.308333333,4.058333333,6.216666667,4.4,3.733333333,6.291666667,4.175,5.075,5.241666667,3.991666667
District of Columbia,7.775,7.525,8.558333333,7.283333333,6.716666667,8.866666667,7.458333333,7.516666667,7.775,7.55,8.575,7.291666667,6.716666667,8.791666667,7.466666667,7.583333333,7.8,7.475
Florida,6.708333333,5.3,7.25,6.308333333,4.516666667,7.866666667,5.875,6.408333333,6.741666667,5.275,7.258333333,6.325,4.55,7.8,5.891666667,6.508333333,6.75,5.191666667
Georgia,6.041666667,4.591666667,7.183333333,5.625,4.483333333,7.491666667,5.025,6.333333333,6.183333333,4.583333333,7.15,5.575,4.566666667,7.466666667,4.866666667,6.475,6.066666667,4.55
Hawaii,4.233333333,4.733333333,4.983333333,4.083333333,3.95,5.491666667,4.4,4.45,4.258333333,4.733333333,5.033333333,4.125,3.95,5.45,4.475,4.5,4.216666667,4.75
Idaho,7.208333333,5.208333333,6.516666667,6.3,4.466666667,7.891666667,5.425,5.483333333,7.116666667,5.2,6.533333333,6.241666667,4.508333333,7.875,5.4,5.575,7.083333333,5.15
Illinois,8.441666667,5.625,8.366666667,7.058333333,5.325,9.308333333,5.866666667,6.991666667,8.391666667,5.608333333,8.383333333,6.975,5.383333333,9.258333333,5.75,7.191666667,8.233333333,5.566666667
Indiana,7.608333333,4.083333333,8.308333333,5.583333333,4.2,8.841666667,4.308333333,6.391666667,7.408333333,4.166666667,8.183333333,5.533333333,4.308333333,8.625,4.391666667,6.55,7.175,4.125
Iowa,6.241666667,3.566666667,5.866666667,4.983333333,3.566666667,6.725,3.741666667,4.583333333,6.208333333,3.583333333,5.775,4.95,3.633333333,6.608333333,3.691666667,4.641666667,6.108333333,3.575
Kansas,5.016666667,4.475,5.525,4.758333333,4.4,5.733333333,4.308333333,5.391666667,4.95,4.508333333,5.525,4.7,4.441666667,5.7,4.275,5.516666667,4.883333333,4.533333333
