Id,Time,X,Y
1086,5863,63.92616,19.35161
1102,5870,64.29335,20.11176
1104,6017,64.143,19.69055
1103,6018,63.97239,19.82465
1101,6034,64.44143,20.27411
1105,6060,64.14625,19.71447
1094,6176,66.23951,19.41608
1121,6364,65.45876,19.99348
1122,6366,65.33066,20.06103
1118,6372,66.47225,20.26253
1117,6383,66.37243,20.29229
1143,6387,64.81267,20.34431
1142,6406,64.69134,20.43665
1108,6414,65.24686,19.54616
1124,6415,64.2917,20.69978
1129,6415,65.16721,20.08614
1144,6487,64.28823,20.04276
1188,6739,65.75098,20.69676
1165,6742,65.05372,20.05262
1156,6763,66.0153,19.84342
1151,6764,64.67382,19.90643
1181,6771,64.33003,20.09656
1166,6772,65.04228,20.04107
1179,6784,64.54461,20.25063
1189,6870,64.56109,20.02257
1196,7040,64.58657,19.5683
1252,7067,64.45742,19.84837
1193,7085,65.01338,19.88626
1195,7090,64.94648,20.00191
1199,7098,64.46145,19.8278
1275,7099,64.32155,20.02379
1260,7103,64.76439,20.91297
1249,7107,63.92878,19.71967
1251,7109,64.37877,19.89217
1221,7116,64.39877,19.35751
1247,7122,64.48427,20.05932
1198,7124,64.56856,19.90473
1274,7128,64.37879,20.0718
1233,7129,64.03954,19.30933
1250,7131,64.02836,19.78133
1263,7131,63.73284,19.90342
1248,7132,63.86294,19.65069
1208,7135,65.55396,19.90812
1210,7135,65.31792,20.13764
1254,7135,64.44186,20.02264
1245,7137,64.6555,20.05204
1264,7138,63.86445,19.875
1194,7193,64.91534,19.96295
1265,7194,64.71286,19.97626
1266,7194,64.72915,19.93319
1207,7195,65.38518,19.47538
1262,7195,65.08401,19.43762
1197,7197,64.91035,19.86542
1205,7199,64.51824,19.34165
1232,7201,64.0869,19.47651
1224,7285,64.22628,19.57369
1253,7289,64.23695,19.97179
1373,7406,64.58552,19.56545
1353,7448,63.82293,20.18196
1352,7455,63.81666,20.18377
1335,7464,64.50737,20.91476
1357,7472,64.06718,19.92259
1334,7475,65.50382,20.29662
1333,7479,65.46496,20.24826
1354,7485,64.0692,20.25685
1327,7490,65.6448,19.95193
1359,7491,64.39534,19.71675
1316,7492,64.98099,20.0126
1340,7494,64.17322,19.42019
1351,7495,64.78116,20.41243
1362,7496,64.47019,19.8404
1364,7499,64.28615,20.03391
1336,7501,64.66565,20.75252
1330,7502,65.43439,20.06062
1332,7502,64.81091,21.04297
1361,7502,64.38863,19.84934
1367,7502,64.42881,19.99799
1360,7506,64.23128,19.80955
1337,7508,64.63139,20.72933
1378,7508,64.81866,20.9931
1276,7513,65.36119,20.8474
1328,7513,65.82657,20.48923
1375,7513,65.34735,20.8206
1379,7516,64.49847,20.87301
1331,7520,64.78275,21.02026
1329,7549,65.43803,19.9707
1358,7566,64.03015,19.92486
1363,7568,64.27501,20.03034
1377,7575,64.13717,20.35587
1374,7580,65.29844,19.95439
1355,7597,64.24639,20.11622
1339,7606,64.41798,19.31176
1356,7626,63.94346,19.97367
1366,7626,64.45589,19.94748
1347,7636,63.98245,19.3505
1346,7649,63.93946,19.34459
1442,7800,64.22573,19.86676
1405,7818,65.2377,20.1716
1440,7834,64.29272,19.77528
1432,7835,63.75178,19.98862
1421,7836,64.10245,19.38245
1439,7836,64.2345,19.75251
1411,7844,64.89457,20.46642
1436,7852,64.09419,19.60168
1422,7853,63.97648,19.3207
1449,7855,63.99248,19.96473
1435,7857,63.93623,19.69923
1406,7866,64.40583,20.71481
1420,7866,63.95799,19.52973
1443,7867,64.48418,19.9107
1451,7867,64.2644,19.58891
1437,7868,64.06077,19.95065
1400,7883,64.55533,19.88617
1450,7889,64.46963,20.9403
1434,7901,64.37951,20.1069
1433,7904,64.06685,20.13166
1444,7904,64.49972,19.94739
1441,7973,64.40853,19.81601
1438,7975,64.2534,19.71568
1471,8186,65.49864,20.32022
1470,8214,66.46171,20.45093
1478,8249,63.73913,19.9012
1479,8257,64.40075,19.62598
1483,8278,65.00175,20.08995
1469,8294,64.08843,21.07267
1484,8311,64.76672,20.88889
1507,8546,65.58713,20.96284
1501,8550,66.11767,20.58807
1499,8553,65.56445,20.78336
1511,8557,64.80579,21.01973
1503,8560,66.44078,20.48175
1494,8586,65.74905,20.651
1492,8588,65.13606,19.8403
1504,8591,66.34186,20.32137
1515,8591,64.05644,19.55523
1505,8593,65.32188,19.98839
1493,8594,65.77098,20.72489
1523,8596,65.94033,20.55055
1521,8598,64.31558,19.70589
1522,8598,64.35344,19.81316
1509,8599,64.93528,20.70058
1498,8600,65.44663,20.93173
1508,8600,64.84703,20.65113
1512,8606,65.18056,20.31389
1500,8607,65.48737,20.74954
1497,8609,65.04416,21.02795
1502,8613,65.7427,20.37933
1513,8642,64.4536,19.34577
1552,8873,64.0267,19.95559
1531,8892,64.5481,19.81462
1555,8893,64.31686,19.80272
1554,8914,64.38703,19.75587
1536,8915,65.62112,20.07296
1563,8915,65.02963,20.22729
1548,8923,64.24724,20.32663
1551,8940,64.02034,19.90763
1537,8950,64.4952,20.65979
1533,8953,66.4427,19.86888
1562,8956,64.07811,19.59938
1547,8958,64.03811,20.24412
1550,8960,63.97652,19.83787
1553,8960,64.11512,19.74721
1532,8985,65.22872,19.36551
1549,9014,64.40221,20.08213
1581,9246,63.7534,20.06108
1571,9297,65.43745,20.25279
1577,9323,63.98258,19.50821
1568,9418,65.04042,19.57829
1624,9630,64.71084,20.25331
1628,9656,64.47218,19.84409
1631,9659,64.7694,20.79935
1595,9672,64.86843,20.47908
1596,9672,64.47126,21.06938
1594,9675,65.56469,21.05054
1598,9680,64.71975,20.51406
1618,9708,64.23441,19.81578
1612,9709,64.00237,19.98893
1613,9722,63.86925,19.60799
1619,9722,64.19728,19.83099
1597,9725,64.50631,20.9402
1616,9726,63.8002,19.91373
1615,9727,64.03982,19.78117
1602,9731,65.10093,20.25104
1617,9735,64.07866,19.93128
1629,9735,63.81411,19.67249
1630,9752,63.73951,19.9073
1614,9802,64.09961,19.66112
1644,9881,64.20569,19.61288
1641,9970,63.74751,20.06553
1638,9976,64.38509,20.13894
1639,10016,64.09893,19.53796
1642,10124,63.94861,20.39057
1643,10136,64.42275,19.98851
1648,10197,64.24663,19.61693
1659,10402,64.8592,20.60747
1650,10445,64.74166,19.84206
1655,10516,64.435,19.51367
1657,10570,64.01954,19.35518
1686,10746,65.0412,20.39246
1685,10757,65.00799,20.42252
1716,10771,64.45412,20.56579
1702,10787,63.87773,19.60881
1709,10804,64.29911,19.66034
1692,10808,64.39307,20.44593
1699,10817,63.96584,19.52304
1672,10821,64.64633,19.84418
1707,10833,64.25158,19.82128
1700,10837,64.0601,19.56591
1704,10891,63.7789,19.78329
1683,10934,63.72488,19.88385
1722,11137,64.81508,19.80818
1726,11137,64.87264,20.44473
1731,11141,64.612,20.6322
1729,11142,63.96969,19.519
1728,11153,64.32448,20.18607
1732,11177,64.17668,20.86177
1721,11215,64.67114,19.93228
1745,11652,64.15652,19.42258
1746,11655,64.31982,19.43645
1761,11876,64.25829,20.03065
1758,11916,64.95166,20.40438
1750,11921,64.5561,19.49256
1764,11940,64.07327,19.48709
1766,11948,64.0897,19.70021
1753,12003,64.13659,19.88295
1794,12183,64.68197,20.98981
1797,12190,63.86994,19.97912
1798,12212,64.06829,19.79444
1775,12220,64.77167,20.82763
1784,12228,64.50663,21.02756
1804,12228,65.90243,20.88115
1774,12248,64.83985,20.76077
1799,12257,65.78838,20.56318
1778,12271,65.52661,20.93727
1792,12286,64.79427,20.54021
1790,12300,66.16017,19.67334
1802,12300,64.92429,21.18797
1788,12371,64.00825,19.7261
1821,12560,64.64224,20.92206
1820,12570,64.01583,20.94203
1836,12570,64.20817,21.07052
1825,12594,63.9646,19.31933
1832,12594,65.46873,19.90865
1826,12635,64.2813,19.773
1823,12638,64.64075,20.47331
1819,12699,64.56715,19.84115
1829,12710,64.49328,20.93398
1845,12940,63.92957,19.93953
1843,12949,64.04462,19.76764
1857,12955,64.42028,19.80481
1846,12966,64.82619,20.92495
1848,12966,65.44991,20.66837
1853,12966,64.92816,21.07318
1842,12967,65.35193,20.72755
1844,12974,63.84588,19.95338
1866,12975,63.72455,19.91577
1864,12978,64.81931,20.407
1847,12992,65.43057,20.73963
1855,12992,64.77007,21.18767
1840,13003,65.36306,20.16066
1854,13024,64.8706,21.08747
1859,13036,65.3291,20.39831
1849,13049,64.65505,20.88374
1869,13061,64.49782,19.85233
1858,13121,63.92964,19.48533
1877,13269,64.09515,19.95731
1874,13271,64.88508,20.63325
1889,13274,65.75411,20.03374
1873,13282,64.62341,20.36684
1872,13302,64.593,19.92435
1887,13305,65.4745,20.13558
1878,13319,64.59918,20.62088
1893,13339,64.16746,20.60107
1892,13340,65.09583,20.31519
1871,13342,64.17167,19.85917
1880,13373,64.44435,20.89335
1884,13399,64.21225,20.33466
1908,13635,64.55004,19.35893
1910,13635,63.94943,19.96905
1898,13640,64.89257,20.65874
1899,13694,64.8645,20.44539
1911,13698,64.21305,19.64458
1900,13715,64.6409,19.79527
1901,13729,64.1,19.53904
1909,13744,64.0664,19.51155
1933,14031,63.80743,19.85209
1931,14058,64.60596,20.66246
1920,14063,64.82946,20.81777
1919,14070,64.8267,21.03235
1921,14078,65.98364,20.31718
1926,14079,65.63239,20.11468
1917,14080,64.03273,20.12156
1929,14090,64.89144,20.45121
1923,14098,65.30732,20.39564
1922,14099,64.47668,21.10315
1918,14141,64.01166,19.73191
1950,14247,63.91921,19.32415
1939,14360,65.74525,20.38088
1964,14428,63.72042,19.85078
1963,14431,64.38149,20.83033
1969,14437,63.95997,20.05092
1961,14457,65.2292,20.2185
1957,14462,64.74771,19.83405
1940,14485,65.06074,20.23253
1951,14506,63.97011,19.51522
1977,14510,64.32344,20.2493
1936,14547,64.27909,19.76802
1937,14547,64.2813,19.77356
1983,14764,63.80913,19.85235
1979,14767,64.07287,20.26241
1985,14785,64.5241,19.84865
1980,14810,64.42714,20.67138
1982,14866,64.77762,20.07572
