id,Id,Geography,Population,Unemployment Rate,Population Percent,Z Score,dM Score,P(D|M),P(M|D),Surprise,SignedSurprise
1001,0500000US01001,"Autauga County, Alabama",54571,0.097,0.000176751,0.285469108,0.003795244,0.99697184,0.49848592,0.002181045,0.002181045
1003,0500000US01003,"Baldwin County, Alabama",182265,0.091,0.000590341,0.104222847,0.002532295,0.997979523,0.498989762,0.001455992,0.001455992
1005,0500000US01005,"Barbour County, Alabama",27457,0.134,8.89E-05,1.403154385,0.013232188,0.98944255,0.494721275,0.007575248,0.007575248
1007,0500000US01007,"Bibb County, Alabama",22915,0.121,7.42E-05,1.010454153,0.008705149,0.993054384,0.496527192,0.004992763,0.004992763
1009,0500000US01009,"Blount County, Alabama",57322,0.099,0.000185661,0.345884529,0.004712935,0.996239636,0.498119818,0.002707423,0.002707423
1011,0500000US01011,"Bullock County, Alabama",10914,0.164,3.53E-05,2.309385691,0.013730555,0.989044946,0.494522473,0.007858956,0.007858956
1013,0500000US01013,"Butler County, Alabama",20947,0.167,6.78E-05,2.400008821,0.019768486,0.984228058,0.492114029,0.011286857,0.011286857
1015,0500000US01015,"Calhoun County, Alabama",118572,0.108,0.000384044,0.61775392,0.012106155,0.990340922,0.495170461,0.006933793,0.006933793
1017,0500000US01017,"Chambers County, Alabama",34215,0.186,0.000110819,2.973955315,0.031307066,0.975024655,0.487512328,0.017789029,0.017789029
1019,0500000US01019,"Cherokee County, Alabama",25989,0.118,8.42E-05,0.919831022,0.008439224,0.993266554,0.496633277,0.004840765,0.004840765
1021,0500000US01021,"Chilton County, Alabama",43643,0.099,0.000141356,0.345884529,0.004112331,0.996718844,0.498359422,0.002362967,0.002362967
1023,0500000US01023,"Choctaw County, Alabama",13859,0.127,4.49E-05,1.191700414,0.007984224,0.993629579,0.496814789,0.004580619,0.004580619
1025,0500000US01025,"Clarke County, Alabama",25833,0.17,8.37E-05,2.490631952,0.022782251,0.981823966,0.490911983,0.012991353,0.012991353
1027,0500000US01027,"Clay County, Alabama",13932,0.159,4.51E-05,2.15834714,0.014498654,0.988432153,0.494216077,0.008295987,0.008295987
1029,0500000US01029,"Cleburne County, Alabama",14972,0.104,4.85E-05,0.49692308,0.003460419,0.99723899,0.498619495,0.001988895,0.001988895
1031,0500000US01031,"Coffee County, Alabama",49948,0.085,0.000161777,-0.077023414,-0.000979674,0.999218334,0.499609167,0.000563633,-0.000563633
1033,0500000US01033,"Colbert County, Alabama",54428,0.114,0.000176288,0.799000182,0.010608591,0.991535728,0.495767864,0.006079769,0.006079769
1035,0500000US01035,"Conecuh County, Alabama",13228,0.195,4.28E-05,3.245824706,0.021245737,0.983049629,0.491524815,0.01212289,0.01212289
1037,0500000US01037,"Coosa County, Alabama",11539,0.14,3.74E-05,1.584400646,0.009686096,0.992271735,0.496135867,0.005553168,0.005553168
1039,0500000US01039,"Covington County, Alabama",37765,0.101,0.000122318,0.406299949,0.004493566,0.996414665,0.498207332,0.002581631,0.002581631
1041,0500000US01041,"Crenshaw County, Alabama",13906,0.097,4.50E-05,0.285469108,0.001915843,0.998471379,0.49923569,0.001101823,0.001101823
1043,0500000US01043,"Cullman County, Alabama",80406,0.096,0.000260428,0.255261398,0.004119353,0.996713241,0.49835662,0.002366995,0.002366995
1045,0500000US01045,"Dale County, Alabama",50251,0.093,0.000162759,0.164638268,0.002100404,0.998324121,0.499162061,0.001207877,0.001207877
1047,0500000US01047,"Dallas County, Alabama",43820,0.211,0.000141929,3.729148069,0.044426845,0.964564164,0.482282082,0.025103209,0.025103209
1049,0500000US01049,"DeKalb County, Alabama",71109,0.143,0.000230316,1.675023777,0.025420431,0.979719614,0.489859807,0.01447985,0.01447985
1051,0500000US01051,"Elmore County, Alabama",79303,0.09,0.000256856,0.074015137,0.001186219,0.999053534,0.499526767,0.000682408,0.000682408
1053,0500000US01053,"Escambia County, Alabama",38319,0.129,0.000124112,1.252115834,0.013949262,0.98887046,0.49443523,0.007983424,0.007983424
1055,0500000US01055,"Etowah County, Alabama",104430,0.107,0.00033824,0.58754621,0.010805735,0.991378438,0.495689219,0.006192255,0.006192255
1057,0500000US01057,"Fayette County, Alabama",17241,0.128,5.58E-05,1.221908124,0.009131023,0.992714599,0.4963573,0.005236116,0.005236116
1059,0500000US01059,"Franklin County, Alabama",31704,0.123,0.000102687,1.070869573,0.010851587,0.991341856,0.495670928,0.006218415,0.006218415
1061,0500000US01061,"Geneva County, Alabama",26790,0.1,8.68E-05,0.376092239,0.003503325,0.997204757,0.498602379,0.002013521,0.002013521
1063,0500000US01063,"Greene County, Alabama",9045,0.147,2.93E-05,1.795854617,0.009720198,0.992244526,0.496122263,0.005572642,0.005572642
1065,0500000US01065,"Hale County, Alabama",15760,0.127,5.10E-05,1.191700414,0.00851422,0.993206718,0.496603359,0.004883635,0.004883635
1067,0500000US01067,"Henry County, Alabama",17302,0.099,5.60E-05,0.345884529,0.00258928,0.997934056,0.498967028,0.001488723,0.001488723
1069,0500000US01069,"Houston County, Alabama",101547,0.089,0.000328902,0.043807427,0.000794476,0.9993661,0.49968305,0.000457117,0.000457117
1071,0500000US01071,"Jackson County, Alabama",53227,0.118,0.000172398,0.919831022,0.012077407,0.990363858,0.495181929,0.006917409,0.006917409
1073,0500000US01073,"Jefferson County, Alabama",658466,0.107,0.002132714,0.58754621,0.027133659,0.978353129,0.489176564,0.015444677,0.015444677
1075,0500000US01075,"Lamar County, Alabama",14564,0.148,4.72E-05,1.826062328,0.012541676,0.989993452,0.494996726,0.007181963,0.007181963
1077,0500000US01077,"Lauderdale County, Alabama",92709,0.105,0.000300276,0.52713079,0.009134378,0.992711922,0.496355961,0.005238033,0.005238033
1079,0500000US01079,"Lawrence County, Alabama",34339,0.136,0.000111221,1.463569805,0.01543501,0.987685133,0.493842566,0.008828375,0.008828375
1081,0500000US01081,"Lee County, Alabama",140247,0.086,0.000454248,-0.046815704,-0.000997787,0.999203881,0.49960194,0.00057405,-0.00057405
1083,0500000US01083,"Limestone County, Alabama",82782,0.093,0.000268124,0.164638268,0.002695867,0.997849012,0.498924506,0.00154994,0.00154994
1085,0500000US01085,"Lowndes County, Alabama",11299,0.185,3.66E-05,2.943747604,0.017808208,0.985791856,0.492895928,0.010175852,0.010175852
1087,0500000US01087,"Macon County, Alabama",21452,0.114,6.95E-05,0.799000182,0.006660095,0.994686052,0.497343026,0.003823,0.003823
1089,0500000US01089,"Madison County, Alabama",334811,0.075,0.001084424,-0.379100516,-0.012484004,0.990039465,0.495019732,0.007149105,-0.007149105
1091,0500000US01091,"Marengo County, Alabama",21027,0.148,6.81E-05,1.826062328,0.015069676,0.987976593,0.493988297,0.008620704,0.008620704
1093,0500000US01093,"Marion County, Alabama",30776,0.152,9.97E-05,1.946893168,0.019437834,0.984491829,0.492245915,0.011099585,0.011099585
1095,0500000US01095,"Marshall County, Alabama",93019,0.092,0.00030128,0.134430558,0.002333369,0.998138242,0.499069121,0.001341723,0.001341723
1097,0500000US01097,"Mobile County, Alabama",412992,0.111,0.001337645,0.708377051,0.025908064,0.979330668,0.489665334,0.014754611,0.014754611
1099,0500000US01099,"Monroe County, Alabama",23068,0.187,7.47E-05,3.004163025,0.025967379,0.979283357,0.489641679,0.014788025,0.014788025
1101,0500000US01101,"Montgomery County, Alabama",229363,0.102,0.000742887,0.436507659,0.011897431,0.990507447,0.495253724,0.006814826,0.006814826
1103,0500000US01103,"Morgan County, Alabama",119490,0.104,0.000387018,0.49692308,0.009775852,0.992200123,0.496100062,0.005604422,0.005604422
1105,0500000US01105,"Perry County, Alabama",10591,0.198,3.43E-05,3.336447837,0.019541256,0.984409326,0.492204663,0.011158166,0.011158166
1107,0500000US01107,"Pickens County, Alabama",19746,0.13,6.40E-05,1.282323544,0.010255028,0.991817815,0.495908908,0.005877986,0.005877986
1109,0500000US01109,"Pike County, Alabama",32899,0.087,0.000106557,-0.016607993,-0.000171438,0.999863212,0.499931606,9.87E-05,-9.87E-05
1111,0500000US01111,"Randolph County, Alabama",22913,0.151,7.42E-05,1.916685458,0.016511688,0.986826177,0.493413089,0.009440033,0.009440033
1113,0500000US01113,"Russell County, Alabama",52947,0.126,0.000171491,1.161492704,0.015210266,0.987864431,0.493932216,0.008700629,0.008700629
1115,0500000US01115,"St. Clair County, Alabama",83593,0.107,0.00027075,0.58754621,0.009667777,0.99228635,0.496143175,0.005542707,0.005542707
1117,0500000US01117,"Shelby County, Alabama",195085,0.076,0.000631863,-0.348892805,-0.008770081,0.993002577,0.496501289,0.005029872,-0.005029872
1119,0500000US01119,"Sumter County, Alabama",13763,0.139,4.46E-05,1.554192936,0.010376745,0.991720704,0.495860352,0.005947458,0.005947458
1121,0500000US01121,"Talladega County, Alabama",82291,0.136,0.000266533,1.463569805,0.023894022,0.980937142,0.490468571,0.013619038,0.013619038
